74,Yuri,Pretemporada,DF,Athletic Club
1136,Bigas,Pretemporada,DF,Elche CF
838,Verdú,Pretemporada,DF,Elche CF
789,Alcácer,Pretemporada,DC,Villarreal CF
125,Tello,Pretemporada,MC,Real Betis
991,Mingueza,Pretemporada,DF,FC Barcelona
1344,Luis Hernández,Pretemporada,DF,Cádiz CF
146,Kevin Vázquez,Pretemporada,DF,RC Celta
1332,Alcaraz,Pretemporada,MC,Cádiz CF
260,Aihen,Pretemporada,DF,Real Sociedad
783,Fer Niño,Pretemporada,DC,RCD Mallorca
1280,Montiel,Pretemporada,DF,Sevilla FC
943,Rekik,Pretemporada,DF,Sevilla FC
673,Domingos Duarte,Pretemporada,DF,Granada CF
1299,Florentino,Pretemporada,MC,Getafe CF
1256,Jesús Vázquez,Pretemporada,DF,Valencia CF
1154,Cote,Pretemporada,DF,C.A. Osasuna
593,Victor Díaz,Pretemporada,DF,Granada CF
1283,De la Fuente,Pretemporada,DC,D. Alavés
728,Radoja,Pretemporada,MC,Levante UD
645,Aridane,Pretemporada,DF,C.A. Osasuna
1051,Melendo,Pretemporada,DC,RCD Espanyol
132,Joaquín,Pretemporada,MC,Real Betis
1284,Rochina,Pretemporada,DC,Granada CF
1334,Vilhena,Pretemporada,MC,RCD Espanyol
258,Zaldua,Pretemporada,DF,Real Sociedad
232,Marcelo,Pretemporada,DF,Real Madrid
1093,Amath,Pretemporada,DC,RCD Mallorca
1182,Okay,Pretemporada,MC,Getafe CF
729,Oier,Pretemporada,MC,C.A. Osasuna
1049,David Lopez,Pretemporada,MC,RCD Espanyol
1309,Hélder Costa,Pretemporada,DC,Valencia CF
1081,Abdón,Pretemporada,DC,RCD Mallorca
238,Isco,Pretemporada,MC,Real Madrid
555,Hazard,Pretemporada,DC,Real Madrid
818,Perea,Pretemporada,MC,Cádiz CF
1304,Murillo,Pretemporada,DF,RC Celta
368,Martín Aguirregabiria,Pretemporada,DF,D. Alavés
1059,Calero,Pretemporada,DF,RCD Espanyol
674,Soldado,Pretemporada,DC,Levante UD
1353,Reinildo,Pretemporada,DF,Atlético de Madrid
1062,Wu Lei,Pretemporada,DC,RCD Espanyol
1343,Kike Pérez,Pretemporada,MC,Elche CF
270,Guevara,Pretemporada,MC,Real Sociedad
1207,Pellistri,Pretemporada,DC,D. Alavés
1009,Solari,Pretemporada,MC,RC Celta
369,Ximo,Pretemporada,DF,D. Alavés
99,Lenglet,Pretemporada,DF,FC Barcelona
776,Riqui Puig,Pretemporada,MC,FC Barcelona
317,Jason,Pretemporada,MC,D. Alavés
978,Miranda,Pretemporada,DF,Real Betis
1188,Jovic,Pretemporada,DC,Real Madrid
701,Barrenetxea,Pretemporada,MC,Real Sociedad
1317,Aurier,Pretemporada,DF,Villarreal CF
1349,Uzuni,Pretemporada,DC,Granada CF
1342,Bryan Gil,Pretemporada,DC,Valencia CF
732,Ansu Fati,Pretemporada,DC,FC Barcelona
882,Ruibal,Pretemporada,DC,Real Betis
1163,Dmitrovic,Pretemporada,PO,Sevilla FC
90,Villalibre,Pretemporada,DC,Athletic Club
200,Mata,Pretemporada,DC,Getafe CF
1333,Sergio Rico,Pretemporada,PO,RCD Mallorca
1311,Mustafi,Pretemporada,DF,Levante UD
1278,Miazga,Pretemporada,DF,D. Alavés
305,Cheryshev,Pretemporada,MC,Valencia CF
1281,Augustinsson,Pretemporada,DF,Sevilla FC
1338,Adama,Pretemporada,DC,FC Barcelona
1348,Petrovic,Pretemporada,MC,Granada CF
1129,Mario Suárez,Pretemporada,MC,Rayo Vallecano
133,Loren,Pretemporada,DC,RCD Espanyol
1285,Sylla,Pretemporada,DC,Rayo Vallecano
1025,Ilaix,Pretemporada,MC,Valencia CF
343,Mario,Pretemporada,DF,Villarreal CF
885,Soro,Pretemporada,DC,Granada CF
294,Munir,Pretemporada,DC,Sevilla FC
357,Bacca,Pretemporada,DC,Granada CF
1133,Sabaly,Pretemporada,DF,Real Betis
1340,Ezequiel Ponce,Pretemporada,DC,Elche CF
568,Manu Vallejo,Pretemporada,DC,D. Alavés
553,Clerc,Pretemporada,DF,Levante UD
213,Postigo,Pretemporada,DF,Levante UD
97,Sergi Roberto,Pretemporada,DF,FC Barcelona
1325,San Emeterio,Pretemporada,MC,Cádiz CF
1282,Jankto,Pretemporada,MC,Getafe CF
339,Asenjo,Pretemporada,PO,Villarreal CF
1224,Nico Serrano,Pretemporada,DC,Athletic Club
1000,Paul Akouokou,Pretemporada,MC,Real Betis
1320,Ceballos,Pretemporada,MC,Real Madrid
1147,Juan Iglesias,Pretemporada,DF,Getafe CF
1337,Tenaglia,Pretemporada,DF,D. Alavés
1319,Abde,Pretemporada,DC,FC Barcelona
1061,Dimata,Pretemporada,DC,RCD Espanyol
1227,Carlos Domínguez,Pretemporada,DF,RC Celta
808,Cala,Pretemporada,DF,Cádiz CF
248,Mariano,Pretemporada,DC,Real Madrid
958,Barragán,Pretemporada,DF,Elche CF
1145,Arzamendia,Pretemporada,DF,Cádiz CF
859,Lato,Pretemporada,DF,Valencia CF
1347,Martín Cáceres,Pretemporada,DF,Levante UD
1321,Maras,Pretemporada,DF,Rayo Vallecano
1330,Gonzalo Villar,Pretemporada,MC,Getafe CF
1216,Jon Pacheco,Pretemporada,DF,Real Sociedad
1213,Lobete,Pretemporada,DC,Real Sociedad
1159,Vallejo,Pretemporada,DF,Real Madrid
269,Illarramendi,Pretemporada,MC,Real Sociedad
